Name                                               MACs         CPercent    Memory      MPercent    Params     PPercent    InShape       OutShape
MobilenetV1/MobilenetV1/Conv2d_12_depthwise/Relu6  250,880      0.04%       120,832     0.21%       5,120      0.12%       1x512x14x14   1x512x7x7
Relu6__51                                          50,176       0.01%       100,352     0.17%       0          0.00%       1x512x7x7     1x512x7x7
MobilenetV1/MobilenetV1/Conv2d_12_pointwise/Relu6  25,740,288   4.41%       2,301,952   3.94%       525,312    12.44%      1x512x7x7     1x1024x7x7
Relu6__53                                          100,352      0.02%       200,704     0.34%       0          0.00%       1x1024x7x7    1x1024x7x7
MobilenetV1/MobilenetV1/Conv2d_13_depthwise/Relu6  501,760      0.09%       241,664     0.41%       10,240     0.24%       1x1024x7x7    1x1024x7x7
Relu6__55                                          100,352      0.02%       200,704     0.34%       0          0.00%       1x1024x7x7    1x1024x7x7
MobilenetV1/MobilenetV1/Conv2d_13_pointwise/Relu6  51,430,400   8.81%       4,399,104   7.53%       1,049,600  24.86%      1x1024x7x7    1x1024x7x7
Relu6__57                                          100,352      0.02%       200,704     0.34%       0          0.00%       1x1024x7x7    1x1024x7x7
MobilenetV1/Logits/AvgPool_1a/AvgPool              50,176       0.01%       4,096       0.01%       0          0.00%       1x1024x7x7    1x1024x1x1
MobilenetV1/Logits/Conv2d_1c_1x1/BiasAdd           1,026,025    0.18%       4,108,104   7.03%       1,026,025  24.30%      1x1024x1x1    1x1001x1x1
MobilenetV1/Logits/SpatialSqueeze                  0            0.00%       4,012       0.01%       2          0.00%       1x1001x1x1    1x1001
MobilenetV1/Predictions/Reshape_1                  18,018       0.00%       4,004       0.01%       0          0.00%       1x1001        1x1001
Total                                              583,938,635  100%        58,450,072  100%        4,222,059  100%        _             _
